Filename,Answer
task_image_Shaw14860_D421JPEG.jpg,Structured}]
task_image_Shaw17180B_D227JPEG._ireggular or random branching.jpg,Random (Irregular)}]
task_image_Shaw14860_D421JPEG.jpg,Structured (Feather)}]
task_image_Shaw14860_D421JPEG.jpg,Structured (Feather)}]
task_image_PDLS0072AK_D442JPEG.jpg,Structured (Feather)}]
task_image_PDLS0088A_D447JPEG.jpg,Random (Irregular)}]
task_image_LB1185JPEG.jpg,Random (Irregular)}]
task image_Shaw16214_D388JPEG_branching pattern like a feather.jpg,Structured (Feather)}]
task_image_AK294898_DF063JPEG.jpg,Structured (Feather)}]
task_image_Shaw17038-D057JPEG.jpg,Structured (Feather)}]
task_image_PDLS0057DJPEG.jpg,Random (Irregular)}]
task_image_Shaw16785_D214JPEG.jpg,Structured (Feather)}]
task_image_PDLS0070_O_D468JPEG.jpg,Structured (Feather)}]
task_image_AK294898_DF063JPEG.jpg,Structured (Feather)}]
task_image_PDL12010JPEG.jpg,Structured (Feather)}]
task_image_PDLS0060MJPEG.jpg,Structured (Feather)}]
task_image_PDLS0088A_D447JPEG.jpg,Structured (Feather)}]
task_image_PDLS9958DJPEG.jpg,Structured (Feather)}]
task_image_Shaw17180B_D227JPEG._ireggular or random branching.jpg,Random (Irregular)}]
task_image_LB1185JPEG.jpg,Random (Irregular)}]
task_image_Shaw17030_D058JPEG.jpg,Random (Irregular)}]
task_image_Shaw17038-D057JPEG.jpg,Structured (Feather)}]
task_image_JL35872JPEG.jpg,Random (Irregular)}]
task_image_PDLS0054AJPEG.jpg,Structured (Feather)}]
task_image_Shaw17180B_D227JPEG._ireggular or random branching.jpg,Random (Irregular)}]
task_image_PDL12010JPEG.jpg,Structured (Feather)}]
task image_Shaw16214_D388JPEG_branching pattern like a feather.jpg,Structured (Feather)}]
task_image_PDLS9958DJPEG.jpg,Structured (Feather)}]
task_image_PDLS0060MJPEG.jpg,Sterile}]
task_image_LB1185JPEG.jpg,Sterile}]
task_image_PDLS0088A_D447JPEG.jpg,"Female },{""task"""
task_image_Shaw17030_D058JPEG.jpg,Sterile}]
task_image_Shaw14860_D421JPEG.jpg,Sterile}]
task_image_JL35872JPEG.jpg,Sterile}]
task_image_PDL12010JPEG.jpg,Sterile}]
task_image_PDLS04171EJPEG.jpg,Sterile}]
task_image_PDLS9958DJPEG.jpg,Sterile}]
task_image_PDLS0070_O_D468JPEG.jpg,"Male},{""task"""
task_image_PDLS0070_O_D468JPEG.jpg,"Male},{""task"""
task_image_PDLS0057DJPEG.jpg,"Male},{""task"""
task_image_PDLS0088A_D447JPEG.jpg,"Female },{""task"""
task_image_PDLS0054AJPEG.jpg,Sterile}]
task_image_PDLS0060MJPEG.jpg,Sterile}]
task_image_PDLS9958DJPEG.jpg,Sterile}]
task_image_AK294898_DF063JPEG.jpg,"Female },{""task"""
task_image_LB1185JPEG.jpg,Sterile}]
task_image_JL35872JPEG.jpg,Sterile}]
task_image_PDLS04171EJPEG.jpg,Sterile}]
task_image_AK294898_DF063JPEG.jpg,"Female },{""task"""
task image_Shaw16214_D388JPEG_branching pattern like a feather.jpg,Sterile}]
task_image_Shaw17038-D057JPEG.jpg,Sterile}]
task_image_PDLS0060MJPEG.jpg,Sterile}]
task_image_PDL12010JPEG.jpg,Sterile}]
task_image_Shaw15383_D426JPEG.jpg,"Both Female and Male},{""task"""
task_image_PDLS0070_O_D468JPEG.jpg,"Male},{""task"""
task_image_LB1185JPEG.jpg,Sterile}]
task_image_Shaw17180B_D227JPEG._ireggular or random branching.jpg,"Male},{""task"""
task_image_PDLS0072AH_D466JPEG.jpg,"Female },{""task"""
task_image_Shaw16785_D214JPEG.jpg,"Male},{""task"""
task_image_PDLS0070_O_D468JPEG.jpg,"Male},{""task"""
task_image_Shaw17038-D057JPEG.jpg,Sterile}]
task_image_Shaw17030_D058JPEG.jpg,Sterile}]
task_image_LB1185JPEG.jpg,Sterile}]
task_image_AK294898_DF063JPEG.jpg,"Female },{""task"""
task_image_PDLS0054AJPEG.jpg,Sterile}]
task_image_Shaw15383_D426JPEG.jpg,"Both Female and Male},{""task"""
task_image_PDLS0072AK_D442JPEG.jpg,Sterile}]
task_image_PDLS0060MJPEG.jpg,Sterile}]
task_image_Shaw16785_D214JPEG.jpg,Sterile}]
task_image_PDLS0088A_D447JPEG.jpg,"Female },{""task"""
task_image_AK294898_DF063JPEG.jpg,"Female },{""task"""
task_image_Shaw17038-D057JPEG.jpg,Sterile}]
task_image_Shaw14860_D421JPEG.jpg,Sterile}]
task_image_PDLS0070_O_D468JPEG.jpg,"Male},{""task"""
